"species","decimalLatitude","decimalLongitude","country","eventDate"
"Apis mellifera",-37.861958,145.069881,"Australia","2025-01-08T11:27:18"
"Apis mellifera",-37.977702,145.17994,"Australia","2025-01-08T11:27:50"
"Apis mellifera",-37.855106,145.099558,"Australia","2025-01-08T11:28:05"
"Apis mellifera",-37.974698,145.012185,"Australia","2025-01-08T11:32:02"
"Apis mellifera",-37.885164,145.079327,"Australia","2025-01-08T11:32:19"
"Apis mellifera",32.875417,-117.248812,"United States of America","2025-01-07T15:13:08"
"Apis mellifera",19.780884,-99.140081,"Mexico","2025-01-05T14:54"
"Apis mellifera",-31.542785,-61.074886,"Argentina","2025-01-01T10:20"
"Apis mellifera",3.75012,-59.309498,"Guyana","2025-01-07T17:43:07"
"Apis mellifera",-42.865768,147.329931,"Australia","2025-01-08T13:04:44"
"Apis mellifera",13.524411,-16.530878,"Gambia","2025-01-07T16:24Z"
"Apis mellifera",13.514917,-16.522874,"Gambia","2025-01-07T16:28Z"
"Apis mellifera",13.453238,-16.514649,"Gambia","2025-01-07T16:36Z"
"Apis mellifera",-37.735713,145.586197,"Australia","2025-01-07T12:46:40"
"Apis mellifera",34.016931,-118.365853,"United States of America","2025-01-07T11:17:47"
"Apis mellifera",-37.802342,144.965387,"Australia","2025-01-07T14:52:40"
"Apis mellifera",-37.802326,144.97063,"Australia","2025-01-07T15:07:20"
"Apis mellifera",-34.966561,138.696264,"Australia","2025-01-08T09:53"
"Apis mellifera",-30.738122,121.479242,"Australia","2025-01-08T11:49:40"
"Apis mellifera",32.013039,34.755003,"Israel","2025-01-08T09:21:18"
